capacity_id,slot_id,role_name,required_count,hours_per_person,man_month_factor,created_at,updated_at,note
"cap_2026_03_14_qc_po","slot_2026_03_14","QC/PO","1","8","1","2026-09-24T04:02:31.773Z","2026-09-24T04:02:31.773Z",""
"cap_2026_03_15_qc_po","slot_2026_03_15","QC/PO","1","8","1","2026-09-24T04:02:31.773Z","2026-09-24T04:02:31.773Z",""
"cap_2026_03_21_qc_po","slot_2026_03_21","QC/PO","1","8","1","2026-09-24T04:02:31.773Z","2026-09-24T04:02:31.773Z",""
"cap_2026_03_22_qc_po","slot_2026_03_22","QC/PO","1","8","1","2026-09-24T04:02:31.773Z","2026-09-24T04:02:31.773Z",""
"cap_2026_03_28_qc_po","slot_2026_03_28","QC/PO","1","8","1","2026-09-24T04:02:31.773Z","2026-09-24T04:02:31.773Z",""
"cap_2026_03_29_qc_po","slot_2026_03_29","QC/PO","1","8","1","2026-09-24T04:02:31.773Z","2026-09-24T04:02:31.773Z",""
"cap_2026_04_04_qc_po","slot_2026_04_04","QC/PO","1","8","1","2026-09-24T04:02:31.791Z","2026-09-24T04:02:31.791Z",""
"cap_2026_04_05_qc_po","slot_2026_04_05","QC/PO","1","8","1","2026-09-24T04:02:31.791Z","2026-09-24T04:02:31.791Z",""
"cap_2026_04_11_qc_po","slot_2026_04_11","QC/PO","1","8","1","2026-09-24T04:02:31.791Z","2026-09-24T04:02:31.791Z",""
"cap_2026_04_12_qc_po","slot_2026_04_12","QC/PO","1","8","1","2026-09-24T04:02:31.791Z","2026-09-24T04:02:31.791Z",""
"cap_2026_04_18_qc_po","slot_2026_04_18","QC/PO","1","8","1","2026-09-24T04:02:31.791Z","2026-09-24T04:02:31.791Z",""
"cap_2026_04_19_qc_po","slot_2026_04_19","QC/PO","1","8","1","2026-09-24T04:02:31.791Z","2026-09-24T04:02:31.791Z",""
"cap_2026_04_25_qc_po","slot_2026_04_25","QC/PO","1","8","1","2026-09-24T04:02:31.791Z","2026-09-24T04:02:31.791Z",""
"cap_2026_04_26_qc_po","slot_2026_04_26","QC/PO","1","8","1","2026-09-24T04:02:31.791Z","2026-09-24T04:02:31.791Z",""
